customer_id,tenure_months,age,gender,monthly_charges,churn,total_charges,churn_probability,survival_months,survival_probability,recommendation
CUST001,7,25,Female,107.73,0,754.11,0.88,3,0.93,Offer discount & loyalty program
CUST002,20,41,Female,45.79,0,915.8,0.74,16,0.51,Offer discount & loyalty program
CUST003,15,28,Male,86.0,0,1290.0,0.8,23,0.66,Offer discount & loyalty program
CUST004,11,68,Male,101.72,0,1118.92,0.28,11,0.78,Engage with standard retention strategy
CUST005,8,34,Female,75.52,0,604.16,0.18,12,0.85,Engage with standard retention strategy
CUST006,21,25,Female,72.97,0,1532.37,0.75,10,0.62,Offer discount & loyalty program
CUST007,7,52,Female,44.19,0,309.33,0.81,32,0.88,Offer discount & loyalty program
CUST008,19,52,Female,29.31,0,556.89,0.99,16,0.83,Offer discount & loyalty program
CUST009,23,50,Male,109.72,0,2523.56,0.41,8,0.35,Engage with standard retention strategy
CUST010,11,22,Female,110.04,1,1210.44,0.37,12,0.33,Engage with standard retention strategy
CUST011,11,59,Male,83.31,0,916.41,0.78,24,0.73,Offer discount & loyalty program
CUST012,24,56,Female,53.9,0,1293.6,0.34,28,0.54,Engage with standard retention strategy
CUST013,21,58,Male,54.92,0,1153.32,0.93,8,0.44,Offer discount & loyalty program
CUST014,4,45,Female,92.6,1,370.4,0.86,28,0.7,Offer discount & loyalty program
CUST015,8,24,Female,109.71,0,877.68,0.43,26,0.54,Engage with standard retention strategy
CUST016,24,26,Female,108.71,0,2609.04,0.75,8,0.67,Offer discount & loyalty program
CUST017,3,25,Female,97.99,0,293.97,0.75,28,0.62,Offer discount & loyalty program
CUST018,22,29,Male,84.2,0,1852.4,0.1,28,0.7,Engage with standard retention strategy
CUST019,21,51,Female,28.41,0,596.61,0.9,27,0.58,Offer discount & loyalty program
CUST020,2,50,Male,36.16,0,72.32,0.51,17,0.78,Engage with standard retention strategy
CUST021,24,65,Male,109.86,0,2636.64,0.83,9,0.42,Offer discount & loyalty program
CUST022,12,40,Male,80.64,1,967.68,0.32,33,0.78,Engage with standard retention strategy
CUST023,6,41,Male,20.92,1,125.52,0.9,20,0.58,Offer discount & loyalty program
CUST024,2,54,Female,30.15,0,60.3,0.39,13,0.9,Engage with standard retention strategy
CUST025,21,52,Male,86.35,0,1813.35,0.01,28,0.66,Engage with standard retention strategy
CUST026,1,61,Male,20.51,1,20.51,0.91,29,0.97,Offer discount & loyalty program
CUST027,12,57,Male,36.08,0,432.96,0.09,13,0.72,Engage with standard retention strategy
CUST028,22,39,Female,74.87,0,1647.14,0.32,35,0.45,Engage with standard retention strategy
CUST029,12,44,Female,89.19,0,1070.28,0.95,6,0.87,Offer discount & loyalty program
CUST030,17,52,Female,85.2,0,1448.4,0.95,18,0.54,Offer discount & loyalty program
CUST031,10,18,Female,42.43,1,424.3,0.57,5,0.54,Engage with standard retention strategy
CUST032,16,52,Male,91.22,1,1459.52,0.63,25,0.32,Engage with standard retention strategy
CUST033,15,54,Male,43.72,0,655.8,0.45,2,0.68,Engage with standard retention strategy
CUST034,15,64,Female,52.54,0,788.1,0.29,10,0.67,Engage with standard retention strategy
CUST035,19,31,Male,94.65,0,1798.35,0.33,30,0.55,Engage with standard retention strategy
CUST036,12,20,Male,84.96,0,1019.52,0.67,5,0.92,Engage with standard retention strategy
CUST037,23,18,Male,104.92,0,2413.16,0.75,33,0.39,Offer discount & loyalty program
CUST038,20,22,Female,85.76,0,1715.2,0.79,1,0.53,Offer discount & loyalty program
CUST039,3,43,Female,76.83,1,230.49,0.79,18,0.52,Offer discount & loyalty program
CUST040,5,31,Male,29.37,0,146.85,0.09,32,0.36,Engage with standard retention strategy
CUST041,19,56,Female,56.77,0,1078.63,0.49,11,0.63,Engage with standard retention strategy
CUST042,7,44,Female,46.52,1,325.64,0.06,21,0.77,Engage with standard retention strategy
CUST043,21,26,Female,44.4,1,932.4,0.55,26,0.65,Engage with standard retention strategy
CUST044,9,32,Female,117.3,0,1055.7,0.44,25,0.41,Engage with standard retention strategy
CUST045,7,32,Female,59.31,0,415.17,0.89,22,0.56,Offer discount & loyalty program
CUST046,18,43,Male,109.2,0,1965.6,0.35,27,0.3,Engage with standard retention strategy
CUST047,4,59,Female,83.11,0,332.44,0.12,13,0.9,Engage with standard retention strategy
CUST048,14,30,Male,99.48,0,1392.72,0.14,33,0.36,Engage with standard retention strategy
CUST049,18,68,Male,70.26,1,1264.68,0.76,34,0.71,Offer discount & loyalty program
CUST050,9,49,Female,77.69,0,699.21,0.62,35,0.98,Engage with standard retention strategy
CUST051,21,56,Male,69.25,0,1454.25,0.1,1,0.67,Engage with standard retention strategy
CUST052,2,66,Male,39.52,0,79.04,0.08,21,0.94,Engage with standard retention strategy
CUST053,20,69,Male,92.25,0,1845.0,0.7,6,0.46,Engage with standard retention strategy
CUST054,15,49,Female,48.08,1,721.2,0.07,28,0.82,Engage with standard retention strategy
CUST055,7,21,Female,22.43,1,157.01,0.82,17,0.67,Offer discount & loyalty program
CUST056,12,47,Male,84.55,0,1014.6,0.71,5,0.8,Offer discount & loyalty program
CUST057,8,54,Female,37.71,0,301.68,0.08,31,0.34,Engage with standard retention strategy
CUST058,15,40,Female,114.05,0,1710.75,0.08,5,0.4,Engage with standard retention strategy
CUST059,3,56,Female,115.39,0,346.17,0.99,3,0.39,Offer discount & loyalty program
CUST060,14,62,Female,111.49,0,1560.86,0.37,23,0.77,Engage with standard retention strategy
CUST061,17,32,Male,57.02,0,969.34,0.37,10,0.88,Engage with standard retention strategy
CUST062,4,60,Male,21.55,0,86.2,0.81,10,0.82,Offer discount & loyalty program
CUST063,18,46,Female,112.83,0,2030.94,0.95,19,0.32,Offer discount & loyalty program
CUST064,8,53,Female,62.82,0,502.56,0.99,17,0.9,Offer discount & loyalty program
CUST065,4,30,Male,116.67,0,466.68,0.75,21,0.54,Offer discount & loyalty program
