customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1000,Male,0,No,No,16,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,78.58887903894991,1242.255839584242,No
CUST1001,Female,0,No,Yes,57,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,92.66197055859669,5286.271954208175,No
CUST1002,Male,0,Yes,Yes,57,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),57.50625988018717,3281.475140181007,Yes
CUST1003,Male,1,Yes,No,56,No,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Electronic check,89.31046126006339,5008.218044190488,Yes
CUST1004,Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),90.23856422257597,548.666488509484,Yes
CUST1005,Female,0,No,No,38,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),59.44636806500579,2261.621647431576,No
CUST1006,Male,1,Yes,No,57,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),77.35765554653906,4403.1682013662385,Yes
CUST1007,Male,0,Yes,No,55,Yes,No,No,No,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,32.65667134979705,1792.8768428855428,Yes
CUST1008,Male,1,No,Yes,14,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),68.32744132357077,947.3009599573417,Yes
CUST1009,Female,1,No,No,43,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Electronic check,69.27267772987057,2973.0164113787114,No
CUST1010,Male,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,78.36432709957668,866.2416842539974,No
CUST1011,Male,1,No,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),95.45033244463684,652.3498957533245,No
