customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,1,Yes,No,62,Yes,No,DSL,No,Yes,No,No internet service,Yes,No internet service,Two year,No,Mailed check,94.79,5876.98,No
CUST0002,Female,0,Yes,No,31,Yes,Yes,DSL,No,No,No internet service,Yes,No,Yes,One year,Yes,Electronic check,23.49,728.19,No
CUST0003,Male,1,Yes,Yes,32,No,No,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),109.49,3503.68,No
CUST0004,Male,1,No,Yes,66,Yes,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),106.01,6996.66,No
CUST0005,Male,0,No,No,17,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),65.74,1117.58,No
CUST0006,Female,1,Yes,No,24,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,59.12,1418.88,Yes
CUST0007,Male,0,No,No,53,Yes,No,Fiber optic,No,No internet service,No,Yes,No,No,One year,Yes,Electronic check,47.3,2506.9,Yes
CUST0008,Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,67.67,3857.19,No
CUST0009,Male,0,No,No,66,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,24.44,1613.04,No
CUST0010,Female,0,No,No,45,Yes,Yes,No,No internet service,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),105.22,4734.9,Yes
CUST0011,Male,0,No,Yes,23,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,23.54,541.42,No
CUST0012,Male,0,Yes,No,31,No,No,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,One year,No,Mailed check,52.91,1640.21,No
CUST0013,Male,0,No,No,46,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,One year,Yes,Credit card (automatic),113.16,5205.36,No
CUST0014,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,No,Mailed check,93.52,2057.44,No
CUST0015,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Mailed check,48.14,3129.1,No
CUST0016,Male,0,No,Yes,26,No,No,No,No internet service,No,No internet service,No,Yes,No internet service,One year,Yes,Credit card (automatic),45.26,1176.76,No
CUST0017,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No internet service,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,20.51,20.51,No
CUST0018,Female,0,Yes,No,16,Yes,No phone service,DSL,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,89.57,1433.12,No
CUST0019,Female,0,Yes,No,32,Yes,No phone service,No,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Electronic check,24.88,796.16,No
CUST0020,Male,1,No,No,8,Yes,Yes,DSL,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,No,Electronic check,73.26,586.08,No
CUST0021,Female,0,No,No,42,No,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Two year,No,Credit card (automatic),116.21,4880.82,Yes
CUST0022,Male,0,Yes,No,47,No,No,DSL,Yes,Yes,No internet service,No,Yes,Yes,One year,No,Electronic check,30.95,1454.65,No
CUST0023,Female,0,No,No,38,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,109.45,4159.1,No
CUST0024,Female,0,No,Yes,41,Yes,No phone service,No,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Mailed check,119.15,4885.15,No
CUST0025,Female,0,No,No,25,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),26.15,653.75,No
CUST0026,Female,0,No,Yes,49,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,108.29,5306.21,No
CUST0027,Female,0,Yes,Yes,24,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),71.61,1718.64,Yes
CUST0028,Female,0,Yes,No,23,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,110.65,2544.95,Yes
CUST0029,Female,0,No,Yes,12,Yes,No,No,No,No,Yes,Yes,No internet service,No,Two year,No,Electronic check,77.13,925.56,Yes
CUST0030,Female,0,No,No,59,Yes,No,DSL,No,No,Yes,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),86.21,5086.39,Yes
CUST0031,Male,1,Yes,Yes,6,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.38,446.28,No
CUST0032,Male,0,Yes,No,56,Yes,No phone service,No,No,Yes,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),106.45,5961.2,No
CUST0033,Female,0,No,Yes,35,Yes,No,No,Yes,Yes,No internet service,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),93.39,3268.65,Yes
CUST0034,Female,0,Yes,No,44,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,72.13,3173.72,No
CUST0035,Female,0,No,No,19,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No,One year,Yes,Electronic check,106.82,2029.58,No
CUST0036,Male,0,No,No,64,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,44.53,2849.92,No
CUST0037,Female,0,Yes,No,7,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,35.73,250.11,No
CUST0038,Male,0,Yes,No,15,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.04,540.6,Yes
CUST0039,Male,1,No,Yes,13,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,No,Credit card (automatic),53.4,694.2,No
CUST0040,Male,0,No,Yes,14,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,43.87,614.18,Yes
