"Customer ID","Tenure (months)","Contract","Risk Level","Churn Probability","Recommendation"
"CUST00000","6","Month-to-month","Low","0.23995626673972242","Regular satisfaction survey"
"CUST00001","34","Two year","Low","0.23553950487383782","Regular satisfaction survey"
"CUST00002","54","Month-to-month","Low","0.12468564532533857","Regular satisfaction survey"
"CUST00003","13","Two year","Low","0.29324266029032986","Regular satisfaction survey"
"CUST00004","9","Month-to-month","Low","0.18859552084605577","Regular satisfaction survey"
"CUST00005","15","Month-to-month","Medium","0.6506704980638786","Targeted loyalty offer"
"CUST00006","53","Two year","Low","0.07953541151736823","Regular satisfaction survey"
"CUST00007","69","Two year","Low","0.00730021646018728","Regular satisfaction survey"
"CUST00008","43","Two year","Low","0.11449764097967223","Regular satisfaction survey"
"CUST00009","44","Month-to-month","Low","0.06168665738538682","Regular satisfaction survey"
"CUST00010","55","One year","Low","0.13542992846130864","Regular satisfaction survey"
"CUST00011","56","One year","Low","0.21771583968237357","Regular satisfaction survey"
"CUST00012","20","Two year","Low","0.07064701150964477","Regular satisfaction survey"
"CUST00013","67","One year","Low","0.12737891865713166","Regular satisfaction survey"
"CUST00014","49","One year","Medium","0.411341443370133","Targeted loyalty offer"
"CUST00015","32","Two year","Low","0.040835805155317415","Regular satisfaction survey"
"CUST00016","6","Month-to-month","High","0.7757911830011769","Offer 1-year contract with 15% discount"
"CUST00017","69","Two year","Low","0.013301335102281354","Regular satisfaction survey"
"CUST00018","14","One year","Medium","0.5740927022539385","Targeted loyalty offer"
"CUST00019","31","Month-to-month","Low","0.17505942343641384","Regular satisfaction survey"
"CUST00020","19","One year","Low","0.13647651350337406","Regular satisfaction survey"
"CUST00021","14","Month-to-month","High","0.732910538404245","Offer 1-year contract with 15% discount"
"CUST00022","47","One year","Low","0.12081795500529662","Regular satisfaction survey"
"CUST00023","70","Two year","Low","0.025830671584851715","Regular satisfaction survey"
"CUST00024","20","One year","Low","0.30643125026823304","Regular satisfaction survey"
"CUST00025","41","One year","Low","0.09102194975826028","Regular satisfaction survey"
"CUST00026","25","Month-to-month","Low","0.35150669890676955","Regular satisfaction survey"
"CUST00027","13","One year","Medium","0.6389912179134427","Targeted loyalty offer"
"CUST00028","56","Two year","Low","0.12586862252820044","Regular satisfaction survey"
"CUST00029","36","Two year","Low","0.061122635315082385","Regular satisfaction survey"
"CUST00030","57","Two year","Low","0.14495181302300741","Regular satisfaction survey"
"CUST00031","20","Month-to-month","High","0.7328908719691875","Offer 1-year contract with 15% discount"
"CUST00032","68","Month-to-month","Low","0.23636185695220277","Regular satisfaction survey"
"CUST00033","2","One year","Medium","0.46641686165030016","Targeted loyalty offer"
"CUST00034","36","One year","Low","0.34281210492504405","Regular satisfaction survey"
"CUST00035","48","One year","Low","0.15763649033826937","Regular satisfaction survey"
"CUST00036","18","Month-to-month","High","0.7915685213185037","Offer 1-year contract with 15% discount"
"CUST00037","11","Month-to-month","High","0.7289073278263902","Offer 1-year contract with 15% discount"
"CUST00038","60","One year","Low","0.11325010519668964","Regular satisfaction survey"
"CUST00039","40","Month-to-month","Low","0.29222934979010873","Regular satisfaction survey"
"CUST00040","32","Month-to-month","Low","0.32587234202537757","Regular satisfaction survey"
"CUST00041","49","Two year","Low","0.23847698041514628","Regular satisfaction survey"
"CUST00042","67","Two year","Low","0.1053780672638828","Regular satisfaction survey"
"CUST00043","70","One year","Low","0.020419590635126904","Regular satisfaction survey"
"CUST00044","32","One year","Low","0.18310748431548113","Regular satisfaction survey"
"CUST00045","23","Two year","Low","0.3444604105379944","Regular satisfaction survey"
"CUST00046","60","Month-to-month","Low","0.15798261401948405","Regular satisfaction survey"
"CUST00047","60","One year","Low","0.2194738780667036","Regular satisfaction survey"
"CUST00048","27","One year","Low","0.36634865578648684","Regular satisfaction survey"
"CUST00049","57","One year","Low","0.32053772113470735","Regular satisfaction survey"
"CUST00050","42","Month-to-month","Low","0.16351851467909287","Regular satisfaction survey"
"CUST00051","40","Two year","Low","0.018484537711595302","Regular satisfaction survey"
"CUST00052","38","One year","Low","0.13152178802168996","Regular satisfaction survey"
"CUST00053","48","Two year","Low","0.22962797832833234","Regular satisfaction survey"
"CUST00054","16","Two year","Medium","0.4513487468884188","Targeted loyalty offer"
"CUST00055","69","Month-to-month","Low","0.15763783690042574","Regular satisfaction survey"
"CUST00056","69","Month-to-month","Low","0.3173780800524794","Regular satisfaction survey"
"CUST00057","64","Month-to-month","Low","0.1652128771690986","Regular satisfaction survey"
"CUST00058","4","Month-to-month","High","0.7285706578079724","Offer 1-year contract with 15% discount"
"CUST00059","1","Month-to-month","High","0.7564742110539834","Offer 1-year contract with 15% discount"
"CUST00060","21","Month-to-month","Medium","0.6538097676810114","Targeted loyalty offer"
"CUST00061","56","One year","Low","0.1566855088717281","Regular satisfaction survey"
"CUST00062","65","Two year","Low","0.20082173344685444","Regular satisfaction survey"
"CUST00063","15","Month-to-month","Low","0.34342269073639903","Regular satisfaction survey"
"CUST00064","50","One year","Medium","0.43994357705415293","Targeted loyalty offer"
"CUST00065","38","Two year","Low","0.1937442702165496","Regular satisfaction survey"
"CUST00066","39","Month-to-month","Low","0.11993533340629992","Regular satisfaction survey"
"CUST00067","37","Month-to-month","Medium","0.5535655404429841","Targeted loyalty offer"
"CUST00068","59","One year","Low","0.025287568690384902","Regular satisfaction survey"
"CUST00069","58","Two year","Low","0.32223272660371627","Regular satisfaction survey"
"CUST00070","9","Month-to-month","Low","0.2836238968442878","Regular satisfaction survey"
"CUST00071","63","Two year","Low","0.04019623884220071","Regular satisfaction survey"
"CUST00072","62","One year","Low","0.23791398445431985","Regular satisfaction survey"
"CUST00073","48","Month-to-month","Medium","0.655579681699519","Targeted loyalty offer"
"CUST00074","63","Two year","Low","0.04563127914939162","Regular satisfaction survey"
"CUST00075","31","One year","Low","0.04836151845995154","Regular satisfaction survey"
"CUST00076","6","One year","Medium","0.42518863284186614","Targeted loyalty offer"
"CUST00077","20","Month-to-month","Low","0.24451004967290674","Regular satisfaction survey"
"CUST00078","19","Two year","Low","0.08553953605769782","Regular satisfaction survey"
"CUST00079","25","Month-to-month","Low","0.23236271965203797","Regular satisfaction survey"
"CUST00080","67","Month-to-month","Low","0.21998236910629448","Regular satisfaction survey"
"CUST00081","14","Two year","Low","0.33731375392627244","Regular satisfaction survey"
"CUST00082","13","Two year","Low","0.3975142611401772","Regular satisfaction survey"
"CUST00083","26","Two year","Low","0.2203948731436114","Regular satisfaction survey"
"CUST00084","39","One year","Low","0.38144809700782917","Regular satisfaction survey"
"CUST00085","57","One year","Low","0.2109237146931323","Regular satisfaction survey"
"CUST00086","27","Two year","Medium","0.420024960933138","Targeted loyalty offer"
"CUST00087","25","One year","High","0.7007779865537356","Personal retention specialist contact"
"CUST00088","62","Month-to-month","Medium","0.5792829846545131","Targeted loyalty offer"
"CUST00089","65","Two year","Low","0.11480383254042116","Regular satisfaction survey"
"CUST00090","24","Month-to-month","Low","0.3785972936755708","Regular satisfaction survey"
"CUST00091","2","Two year","Low","0.36376276567613486","Regular satisfaction survey"
"CUST00092","71","Month-to-month","Low","0.33976248949203436","Regular satisfaction survey"
"CUST00093","43","Two year","Low","0.029188843779080643","Regular satisfaction survey"
"CUST00094","41","Month-to-month","Medium","0.5062350556787968","Targeted loyalty offer"
"CUST00095","5","Two year","Low","0.1760559867879869","Regular satisfaction survey"
"CUST00096","38","Two year","Low","0.08773108893290504","Regular satisfaction survey"
"CUST00097","51","One year","Low","0.1506171289411126","Regular satisfaction survey"
"CUST00098","22","Month-to-month","High","0.7363591208592767","Offer 1-year contract with 15% discount"
"CUST00099","49","One year","Low","0.27496860804280965","Regular satisfaction survey"
"CUST00100","42","Month-to-month","Low","0.19088421553243537","Regular satisfaction survey"
"CUST00101","18","One year","Low","0.11746911840359134","Regular satisfaction survey"
"CUST00102","68","Two year","Low","0.044415466094698854","Regular satisfaction survey"
"CUST00103","50","One year","Low","0.09899691818510002","Regular satisfaction survey"
"CUST00104","10","One year","Low","0.13252221312172832","Regular satisfaction survey"
"CUST00105","11","Two year","Low","0.23233492264863764","Regular satisfaction survey"
"CUST00106","7","One year","Medium","0.4075275660543761","Targeted loyalty offer"
"CUST00107","23","Two year","Low","0.03788744816524378","Regular satisfaction survey"
"CUST00108","40","Month-to-month","Medium","0.6988303676465939","Targeted loyalty offer"
"CUST00109","35","One year","Low","0.1087156032801132","Regular satisfaction survey"
"CUST00110","71","Two year","Low","0.013008069722705805","Regular satisfaction survey"
"CUST00111","54","Two year","Low","0.12019528069067452","Regular satisfaction survey"
"CUST00112","8","One year","Medium","0.6946346785734098","Targeted loyalty offer"
"CUST00113","46","Month-to-month","Low","0.22729976649898698","Regular satisfaction survey"
"CUST00114","14","One year","Low","0.32253061741144795","Regular satisfaction survey"
"CUST00115","47","Two year","Low","0.03540971800653177","Regular satisfaction survey"
"CUST00116","41","Month-to-month","Low","0.33977073739090097","Regular satisfaction survey"
"CUST00117","59","One year","Low","0.2480001129718176","Regular satisfaction survey"
"CUST00118","69","Two year","Low","0.026794595302519073","Regular satisfaction survey"
"CUST00119","11","One year","Medium","0.6480237927290297","Targeted loyalty offer"
"CUST00120","1","Month-to-month","Medium","0.40204021378961446","Targeted loyalty offer"
"CUST00121","6","Month-to-month","Medium","0.6022022488350316","Targeted loyalty offer"
"CUST00122","2","Month-to-month","Medium","0.5147080582123962","Targeted loyalty offer"
"CUST00123","2","Month-to-month","High","0.7549196348195298","Offer 1-year contract with 15% discount"
"CUST00124","26","Month-to-month","Low","0.2571767712675014","Regular satisfaction survey"
"CUST00125","39","One year","Low","0.32669832310200414","Regular satisfaction survey"
"CUST00126","32","Month-to-month","Medium","0.4547533797979597","Targeted loyalty offer"
"CUST00127","0","Month-to-month","Medium","0.6008727379250132","Targeted loyalty offer"
"CUST00128","7","Two year","Low","0.09715062903494615","Regular satisfaction survey"
"CUST00129","31","Month-to-month","Low","0.2381428736053478","Regular satisfaction survey"
"CUST00130","47","Two year","Low","0.07054283765870827","Regular satisfaction survey"
"CUST00131","3","Two year","Low","0.3392741921837569","Regular satisfaction survey"
"CUST00132","69","Two year","Low","0.01785961073559082","Regular satisfaction survey"
"CUST00133","18","One year","Low","0.08541694345584913","Regular satisfaction survey"
"CUST00134","31","One year","Low","0.2012748857760204","Regular satisfaction survey"
"CUST00135","8","Two year","Low","0.1967648922146244","Regular satisfaction survey"
"CUST00136","11","One year","Low","0.22695610440558697","Regular satisfaction survey"
"CUST00137","10","Month-to-month","Low","0.136781277678943","Regular satisfaction survey"
"CUST00138","45","One year","Low","0.12120359521097851","Regular satisfaction survey"
"CUST00139","15","Month-to-month","Low","0.2147438471714748","Regular satisfaction survey"
